name,website,industry,country,funding_amount,funding_type,last_funding_date,funding_year,funding_month,funding_month_name,funding_quarter,industry_count
EarthSync,earthsync.io,"Energy, Analytics, Artificial Intelligence, B2B Software, Environment",India,1000000.0,Pre-Seed,2026-02-01,2026,2,February,1,5
4baseCare,4basecare.com,"Healthcare, Artificial Intelligence, B2B Software, Biotechnology, Data",India,9803025.0,Series B,2026-02-01,2026,2,February,1,5
Cava Athleisure,cavaathleisure.com,"Fashion, Wellness, Consumer Goods, E-commerce, Fitness, Retail",India,4353085.0,Series A,2026-02-01,2026,2,February,1,6
JuniorGo,juniorgo.in,"Education, Finance, Personal Development",India,,Pre-Seed,2026-02-01,2026,2,February,1,3
Entellus Industries,entellusind.com,"Materials, Automotive, Electronics, EV, Manufacturing",India,5446125.0,Seed,2026-02-01,2026,2,February,1,5
EZBillPay,EZBillPay.in,"FinTech, Finance, B2B Software",India,,Pre-Seed,2026-02-01,2026,2,February,1,3
1Buy.AI,1buy.ai,"B2B Software, Artificial Intelligence, Data, Hardware",India,3534664.0,Seed,2026-02-01,2026,2,February,1,4
MyRental,myrental.co.in,"Property Management, Home Services, Real Estate",India,,Pre-Seed,2026-02-01,2026,2,February,1,3
D-propulse Aerospace,d-propulse.com,"Aerospace, Government, Hardware, Manufacturing, Mechanical Engineering",India,2728575.0,Seed,2026-02-01,2026,2,February,1,5
ScrapUncle,scrapuncle.com,"Home Services, B2C Software, Mobile",India,2396295.0,Seed,2026-02-01,2026,2,February,1,3
Easy Home Finance,easyhomefinance.in,"FinTech, Finance, Real Estate",India,30000000.0,Series C,2026-02-01,2026,2,February,1,3
The Stack,thestack.club,"Nutrition and Supplements, Wellness, Consumer Goods, Retail",India,600287.0,Pre-Seed,2026-02-01,2026,2,February,1,4
AquaAirX,aquaairx.com,"Drones, Artificial Intelligence, B2B Software, Cloud Computing, Hardware, Marine, Robotics",India,1357081.0,Seed,2026-02-01,2026,2,February,1,7
Biopeak,biopeak.com,"Healthcare, Analytics, Artificial Intelligence, Biotechnology",India,2698912.0,Seed,2026-02-01,2026,2,February,1,4
Steadfast Business Consulting,steadfastconsultants.in,"Accounting, Finance, Professional Services",India,,Seed,2026-02-01,2026,2,February,1,3
Mysa,mysa.io,"FinTech, Finance, Accounting, B2B Software",India,3400000.0,Seed,2026-02-01,2026,2,February,1,4
SpotDraft,spotdraft.com,"B2B Software, Legal",India,8000000.0,Series B,2026-02-01,2026,2,February,1,2
Nivaan Care,nivaancare.com,Healthcare,India,7000000.0,Series A,2026-02-01,2026,2,February,1,1
Varaha,varaha.earth,"Agriculture, Environment",India,20000000.0,Series B,2026-02-01,2026,2,February,1,2
ZILO,zilo.one,"Fashion, E-commerce, Marketplace, Retail",India,15300000.0,Series A,2026-02-01,2026,2,February,1,4
Sippy Films,sippyfilms.com.,"Entertainment, Media",India,,Venture - Series Unknown,2026-02-01,2026,2,February,1,2
The Whole Truth,thewholetruthfoods.com,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements",India,51000000.0,Series D,2026-02-01,2026,2,February,1,5
OneStack,onestack.in,"FinTech, Finance, B2B Software",India,,Series A,2026-02-01,2026,2,February,1,3
Taasha Craft,taashacraft.com,"Retail, Consumer Goods, E-commerce, Fashion, Manufacturing",India,82941.0,Seed,2026-02-01,2026,2,February,1,5
NASH Industries,nashindia.com,"Manufacturing, Hardware, Mechanical Engineering",India,,Private Equity,2026-02-01,2026,2,February,1,3
JS AutoCast,jsautocast.com,"Manufacturing, Automotive, Materials, Mechanical Engineering",India,32773634.0,Venture - Series Unknown,2026-02-01,2026,2,February,1,4
Good Monk,goodmonk.in,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements",India,3649396.0,Series A,2026-02-01,2026,2,February,1,5
Mefron Technologies,mefron.com,"Electronics, Hardware, Manufacturing",India,,Private Equity,2026-02-01,2026,2,February,1,3
Gamepoint India,gamepointindia.com,"Sports, Wellness, Education, Fitness, Recreation",India,774248.0,Seed,2026-02-01,2026,2,February,1,5
Material Depot,materialdepot.in,"Artificial Intelligence, B2B Software, Home Services",India,10000000.0,Series A,2026-02-01,2026,2,February,1,3
Aditya Birla Housing Finance,homefinance.adityabirlacapital.com,"Finance, Real Estate",India,304527929.0,Private Equity,2026-02-01,2026,2,February,1,2
Neverinstall,neverinstall.com,"Cloud Computing, B2B Software, B2C Software",India,,Seed,2026-02-01,2026,2,February,1,3
EyeROV,eyerov.com,"Drones, Artificial Intelligence, Analytics, B2B Software, Hardware, Marine, Robotics",India,1437641.0,Seed,2026-02-01,2026,2,February,1,7
Doodley,doodley.in,"Pets, Food and Beverage, Consumer Goods, Retail",India,2211755.0,Seed,2026-02-01,2026,2,February,1,4
CHINI KUM,drinkchinikum.com,"Food and Beverage, Consumer Goods, Wellness",India,110607.0,Pre-Seed,2026-02-01,2026,2,February,1,3
Jain Cord Industries,jaincord.com,"Fashion, Consumer Goods, Manufacturing",India,22155179.0,Series A,2026-02-01,2026,2,February,1,3
Krvvy,krvvy.com,"Fashion, Consumer Goods, E-commerce, Retail",India,132728.0,Seed,2026-02-01,2026,2,February,1,4
Curapod,litemed.co.in,"Healthcare, Hardware",India,2209596.0,Seed,2026-02-01,2026,2,February,1,2
Elixiir Foods,elixiirfoods.com,"Food and Beverage, Consumer Goods, E-commerce, Manufacturing, Retail",India,9000000.0,Seed,2026-02-01,2026,2,February,1,5
GO DESi,godesi.in,"Food and Beverage, Consumer Goods, E-commerce, Manufacturing, Retail",India,,Series B,2026-02-01,2026,2,February,1,5
DUSQ,getinnergize.com,"Mental Health, Wellness, Hardware, Healthcare, Wearables",India,2649258.0,Seed,2026-02-01,2026,2,February,1,5
Digitory,digitory.com,"Artificial Intelligence, Analytics, B2B Software, Data, E-commerce",India,500000.0,Seed,2026-02-01,2026,2,February,1,5
DSLR Technologies,dslrteam.com,"E-commerce, B2B Software, Marketing, Social Network",India,8823156.0,Series A,2026-02-01,2026,2,February,1,4
e-TRNL Energy,e-trnl.energy,"Energy, Electronics, Hardware, Manufacturing, Materials",India,3020230.0,Seed,2026-02-01,2026,2,February,1,5
GREW Solar,thegrewsolar.com,"Energy, Electronics, Hardware, Manufacturing",India,115738738.0,Private Equity,2026-02-01,2026,2,February,1,4
Supertails,supertails.com,"Pets, E-commerce, Healthcare, Retail",India,30000000.0,Series C,2026-02-01,2026,2,February,1,4
WellWith India Pvt. Ltd.,wellwithlife.com,"Nutrition and Supplements, Wellness, Beauty, Consumer Goods, E-commerce, Food and Beverage, Retail",India,137862.0,Seed,2026-02-01,2026,2,February,1,7
SteamPRO,steampro.in.,"Hardware, Consumer Goods, Electronics, Wellness",India,419577.0,Seed,2026-02-01,2026,2,February,1,4
Slurrp Farm,slurrpfarm.com,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Family, Nutrition and Supplements, Retail",India,3314394.0,Series C,2026-02-01,2026,2,February,1,7
Nester India,nesterstore.com,"E-commerce, Consumer Goods, Electronics, Retail",India,2097883.0,Seed,2026-02-01,2026,2,February,1,4
True Balance,truebalance.io,"Mobile, B2C Software, Telecommunications",India,21918324.0,Series E,2026-02-01,2026,2,February,1,3
Pandorum Technologies,pandorum.com,"Biotechnology, Healthcare, Pharmaceuticals",India,18000000.0,Series B,2026-02-01,2026,2,February,1,3
Benny’s Bowl,bennysbowl.com,"Pets, Consumer Goods, E-commerce, Food and Beverage, Retail",India,1400000.0,Seed,2026-02-01,2026,2,February,1,5
Articulus Surgical,articulussurgical.com,"Robotics, Healthcare, Hardware",India,,Seed,2026-02-01,2026,2,February,1,3
