funding_type,Startup_Count,Total_Funding,Average_Funding,Median_Funding
Private Equity,7,705091478.0,141018295.6,115738738.0
Series A,16,169259850.0,11283990.0,8823156.0
Series D,3,141584611.0,47194870.333333336,51000000.0
Series C,4,86144311.0,21536077.75,26414958.5
Seed,44,82884549.0,2125244.846153846,1985210.0
Series B,6,59751837.0,11950367.4,9803025.0
Venture - Series Unknown,6,43321240.0,8664248.0,2600000.0
Series E,1,21918324.0,21918324.0,21918324.0
Pre-Seed,12,4941551.0,549061.2222222222,221366.0
Convertible Note,1,1090000.0,1090000.0,1090000.0
