industry,Startup_Count,Total_Funding,Average_Funding
Finance,16,475263666.0,39605305.5
Energy,7,390943369.0,55849052.71428572
Real Estate,4,340829299.0,113609766.33333333
Environment,6,289434178.0,57886835.6
Manufacturing,17,217755318.0,15553951.285714285
Hardware,18,152690371.0,10179358.066666666
E-commerce,24,151408165.0,6582963.695652174
Electronics,8,135987987.0,19426855.285714287
Marketplace,8,129267701.0,18466814.42857143
Agriculture,4,117584611.0,29396152.75
Consumer Goods,24,114207944.0,4965562.782608695
B2B Software,23,108905411.0,5445270.55
Construction,2,100221366.0,50110683.0
Healthcare,13,100009794.0,8334149.5
Utilities,1,100000000.0,100000000.0
Logistics,3,98546845.0,32848948.333333332
Retail,19,92611769.0,5145098.277777778
FinTech,9,86274805.0,12324972.142857144
Food and Beverage,12,78084645.0,7098604.090909091
Wellness,15,74892122.0,4992808.133333334
Fashion,7,62534979.0,8933568.42857143
Nutrition and Supplements,6,60687149.0,10114524.833333334
Artificial Intelligence,14,58407368.0,4171954.8571428573
Automotive,6,49014643.0,8169107.166666667
Mobile,5,48924217.0,9784843.4
Materials,4,41461355.0,10365338.75
Mechanical Engineering,3,35502209.0,17751104.5
Pets,4,33694767.0,8423691.75
Biotechnology,3,30501937.0,10167312.333333334
Telecommunications,2,26768328.0,13384164.0
Pharmaceuticals,2,25000000.0,12500000.0
B2C Software,4,24759507.0,8253169.0
Data,6,20951500.0,3491916.6666666665
Insurance,1,19390633.0,19390633.0
Travel,2,19390633.0,19390633.0
Entertainment,3,19322461.0,9661230.5
Gaming,1,19100000.0,19100000.0
Beauty,5,13305259.0,2661051.8
Home Services,3,12396295.0,6198147.5
Aerospace,4,11723359.0,2930839.75
EV,3,11196348.0,3732116.0
Marketing,2,9913156.0,4956578.0
Social Network,2,9121276.0,4560638.0
Legal,2,9110116.0,4555058.0
Cloud Computing,5,7703821.0,1925955.25
Chemicals,1,7000000.0,7000000.0
Analytics,6,6299494.0,1049915.6666666667
Fitness,2,5127333.0,2563666.5
Robotics,4,4794722.0,1598240.6666666667
Government,2,4723359.0,2361679.5
Sales,2,4090000.0,2045000.0
Family,2,3536855.0,1768427.5
Accounting,2,3400000.0,3400000.0
Marine,2,2794722.0,1397361.0
Drones,2,2794722.0,1397361.0
Investing,2,2766205.0,1383102.5
Wearables,1,2649258.0,2649258.0
Mental Health,1,2649258.0,2649258.0
Aviation,1,1994784.0,1994784.0
Professional Services,2,1110116.0,1110116.0
Cyber Security,1,1000000.0,1000000.0
Education,4,996709.0,498354.5
Sports,1,774248.0,774248.0
Recreation,2,774248.0,774248.0
3D,1,496736.0,496736.0
Recruiting,1,298120.0,298120.0
Personal Development,2,222461.0,222461.0
Transportation,1,194657.0,194657.0
Media,1,0.0,
Property Management,1,0.0,
