name,industry,funding_type,funding_amount
Aditya Birla Housing Finance,"Finance, Real Estate",Private Equity,304527929.0
CleanMax,"Energy, Environment",Private Equity,165434178.0
GREW Solar,"Energy, Electronics, Hardware, Manufacturing",Private Equity,115738738.0
Radiance Renewables,"Energy, Construction, Environment, Utilities",Private Equity,100000000.0
Arya Collateral,"Agriculture, Finance, Logistics, Marketplace",Series D,80584611.0
The Whole Truth,"Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements",Series D,51000000.0
JS AutoCast,"Manufacturing, Automotive, Materials, Mechanical Engineering",Venture - Series Unknown,32773634.0
Easy Home Finance,"FinTech, Finance, Real Estate",Series C,30000000.0
Supertails,"Pets, E-commerce, Healthcare, Retail",Series C,30000000.0
Knight FinTech,"FinTech, Finance, B2B Software",Series A,23600000.0
